archive_index,canonical_game_date,canonical_game_id,date,game,method,player,source,status
754,2026-07-28,401857093,2026-07-28,Toronto Tempo @ Minnesota Lynx,local_raw_unique_player_game_same_date,Olivia Miles,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
755,,,2026-07-28,Portland Fire @ Las Vegas Aces,,NaLyssa Smith,,UNRESOLVED_LOCAL
756,2026-07-28,401857094,2026-07-28,Indiana Fever @ Seattle Storm,local_raw_unique_player_game_same_date,Natisha Hiedeman,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
757,2026-07-28,401857095,2026-07-28,Portland Fire @ Las Vegas Aces,local_raw_unique_player_game_same_date,A'ja Wilson,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
759,2026-07-28,401857093,2026-07-28,Toronto Tempo @ Minnesota Lynx,local_raw_unique_player_game_same_date,Natasha Howard,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
762,2026-07-28,401857094,2026-07-28,Indiana Fever @ Seattle Storm,local_raw_unique_player_game_same_date,Natisha Hiedeman,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
763,2026-07-28,401857095,2026-07-28,Portland Fire @ Las Vegas Aces,local_raw_unique_player_game_same_date,A'ja Wilson,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
765,2026-07-28,401857094,2026-07-28,Indiana Fever @ Seattle Storm,local_raw_unique_player_game_same_date,Natisha Hiedeman,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
766,2026-07-28,401857096,2026-07-28,New York Liberty @ Los Angeles Sparks,local_raw_unique_player_game_same_date,Nneka Ogwumike,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
767,2026-07-28,401857094,2026-07-28,Indiana Fever @ Seattle Storm,local_raw_unique_player_game_same_date,Aliyah Boston,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
768,2026-07-28,401857094,2026-07-28,Indiana Fever @ Seattle Storm,local_raw_unique_player_game_same_date,Aliyah Boston,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
769,2026-07-28,401857094,2026-07-28,Indiana Fever @ Seattle Storm,local_raw_unique_player_game_same_date,Kelsey Mitchell,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
