generated_at_utc,promotion_state,forward_predictions_total,graded_predictions,pending_predictions,explicit_close_predictions,explicit_clv_coverage_pct,v5_brier,market_brier,v5_ece_5bin,v5_accuracy,roi,production_ready,canonical_forward_markets_total,canonical_graded_markets,canonical_pending_markets,snapshot_ledger_rows,snapshot_graded_rows
2026-08-16T07:59:18.921506+00:00,SHADOW,3626,0,3626,2045,56.4,,,,,,False,,,,,
2026-08-16T09:02:49.291990+00:00,SHADOW,3626,0,3626,2045,56.4,,,,,,False,,,,,
2026-08-16T09:57:26.346643+00:00,SHADOW,3626,0,3626,2045,56.4,,,,,,False,,,,,
2026-08-16T10:56:46.130196+00:00,SHADOW,3626,0,3626,2045,56.4,,,,,,False,,,,,
2026-08-16T11:00:54.607650+00:00,SHADOW,3701,0,3701,2045,55.26,,,,,,False,,,,,
2026-08-16T11:54:39.561688+00:00,SHADOW,3776,0,3776,2045,54.16,,,,,,False,,,,,
2026-08-16T11:58:08.244356+00:00,SHADOW,3851,0,3851,2045,53.1,,,,,,False,,,,,
2026-08-16T13:18:07.863118+00:00,SHADOW,3926,0,3926,2045,52.09,,,,,,False,,,,,
2026-08-16T13:21:15.969716+00:00,SHADOW,4001,0,4001,2045,51.11,,,,,,False,,,,,
2026-08-16T13:58:37.928881+00:00,SHADOW,4076,0,4076,2045,50.17,,,,,,False,,,,,
2026-08-16T14:57:27.414712+00:00,SHADOW,4151,0,4151,2045,49.27,,,,,,False,,,,,
2026-08-16T15:00:54.018772+00:00,SHADOW,4226,0,4226,2045,48.39,,,,,,False,,,,,
2026-08-16T15:55:22.667587+00:00,SHADOW,4301,0,4301,2045,47.55,,,,,,False,,,,,
2026-08-16T15:58:56.293202+00:00,SHADOW,4376,0,4376,2045,46.73,,,,,,False,,,,,
2026-08-16T16:58:14.048512+00:00,SHADOW,4451,0,4451,2045,45.94,,,,,,False,,,,,
2026-08-16T17:01:07.551443+00:00,SHADOW,4524,0,4524,2045,45.2,,,,,,False,,,,,
2026-08-16T17:54:18.740709+00:00,SHADOW,4597,0,4597,2045,44.49,,,,,,False,,,,,
2026-08-16T17:57:37.426672+00:00,SHADOW,4670,0,4670,2045,43.79,,,,,,False,,,,,
2026-08-16T19:01:37.535605+00:00,SHADOW,4743,0,4743,2045,43.12,,,,,,False,,,,,
2026-08-16T19:04:09.062086+00:00,SHADOW,4816,0,4816,2045,42.46,,,,,,False,,,,,
2026-08-16T19:52:48.802280+00:00,SHADOW,4889,0,4889,2045,41.83,,,,,,False,,,,,
2026-08-16T19:56:27.298052+00:00,SHADOW,4962,0,4962,2045,41.21,,,,,,False,,,,,
2026-08-16T20:56:09.308070+00:00,SHADOW,5035,0,5035,2045,40.62,,,,,,False,,,,,
2026-08-16T20:59:26.488997+00:00,SHADOW,5108,0,5108,2045,40.04,,,,,,False,,,,,
2026-08-16T21:54:05.763103+00:00,SHADOW,5181,0,5181,2045,39.47,,,,,,False,,,,,
2026-08-16T21:56:46.652394+00:00,SHADOW,5254,0,5254,2045,38.92,,,,,,False,,,,,
2026-08-16T22:55:53.302722+00:00,SHADOW,5327,0,5327,2045,38.39,,,,,,False,,,,,
2026-08-16T22:59:39.227895+00:00,SHADOW,5400,0,5400,2093,38.76,,,,,,False,,,,,
2026-08-16T23:54:21.910115+00:00,SHADOW,5473,0,5473,2095,38.28,,,,,,False,,,,,
2026-08-16T23:58:40.379530+00:00,SHADOW,5546,0,5546,2097,37.81,,,,,,False,,,,,
2026-08-17T02:09:48.824024+00:00,SHADOW,5619,0,5619,2099,37.36,,,,,,False,,,,,
2026-08-17T02:11:53.943285+00:00,SHADOW,5692,0,5692,2101,36.91,,,,,,False,,,,,
2026-08-17T03:32:40.666044+00:00,SHADOW,5765,0,5765,2103,36.48,,,,,,False,,,,,
2026-08-17T03:35:13.222659+00:00,SHADOW,5838,0,5838,2105,36.06,,,,,,False,,,,,
